Make,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year,Total Passengers,Ratio of Uninjured
Arado-Flugzeugwerke Gmbh,2.0,0.0,0.0,0.0,2.0,4034,2.0,1.0
Arbaugh Evans,1.0,0.0,0.0,1.0,0.0,1986,1.0,0.0
Archer,1.0,0.0,0.0,0.0,2.0,2003,2.0,1.0
Arctic,1.0,0.0,0.0,0.0,2.0,1982,2.0,1.0
Arctic Aircraft,1.0,0.0,0.0,0.0,1.0,1982,1.0,1.0
Arctic Aircraft Co Inc,1.0,2.0,0.0,0.0,0.0,2017,2.0,0.0
Arctic Aircraft Co. Inc.,1.0,0.0,0.0,0.0,2.0,2001,2.0,1.0
Arctic Aircraft Company,1.0,0.0,0.0,0.0,2.0,2005,2.0,1.0
Arctic Aircraft Company Inc,1.0,0.0,0.0,0.0,1.0,2004,1.0,1.0
Arctic Aircraft Corp.,3.0,1.0,2.0,1.0,2.0,6007,6.0,0.3333333333333333
Ardovino Mariucci,2.0,0.0,0.0,1.0,0.0,1992,1.0,0.0
Arganbright,1.0,0.0,0.0,0.0,2.0,2004,2.0,1.0
Argence,1.0,0.0,0.0,1.0,0.0,2009,1.0,0.0
Argence Enas A.,1.0,0.0,0.0,1.0,0.0,2009,1.0,0.0
Argo,1.0,0.0,1.0,0.0,0.0,1994,1.0,0.0
Argus Aviation,1.0,1.0,0.0,0.0,0.0,2003,1.0,0.0
Arima,1.0,0.0,0.0,0.0,1.0,2002,1.0,1.0
Arion,2.0,0.0,1.0,2.0,0.0,4034,3.0,0.0
Arion Aircraft Llc,7.0,3.0,1.0,0.0,6.0,14101,10.0,0.6
Arion Skys Open Sport Aviation,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Ariosto James J,1.0,0.0,0.0,1.0,0.0,2016,1.0,0.0
Armbruster,1.0,1.0,0.0,0.0,0.0,1998,1.0,0.0
Armpriest,1.0,1.0,1.0,0.0,0.0,2006,2.0,0.0
Arner,1.0,0.0,0.0,0.0,2.0,1998,2.0,1.0
Arnet Pereyra,1.0,0.0,1.0,0.0,0.0,2001,1.0,0.0
Arnet Pereyra Aero,1.0,1.0,1.0,0.0,0.0,1999,2.0,0.0
Arnold,2.0,0.0,0.0,0.0,3.0,4002,3.0,1.0
Arnold Forest,1.0,0.0,0.0,0.0,2.0,1984,2.0,1.0
Arnold J/Jones D L,2.0,0.0,0.0,1.0,0.0,2022,1.0,0.0
Arns,1.0,0.0,0.0,2.0,0.0,2002,2.0,0.0
Aronson,1.0,2.0,0.0,0.0,0.0,1985,2.0,0.0
Arrow Aircraft Co.,3.0,2.0,1.0,0.0,1.0,5983,4.0,0.25
Arrow Falcon Exporters,1.0,0.0,0.0,1.0,0.0,2007,1.0,0.0
Arrow Falcon Exporters Inc,6.0,0.0,2.0,3.0,1.0,12066,6.0,0.16666666666666666
Arrow Falcon Exporters Inc.,1.0,1.0,0.0,0.0,0.0,2005,1.0,0.0
"Arrow Falcon Exporters, Inc.",2.0,0.0,0.0,0.0,2.0,4020,2.0,1.0
"Arrow-Falcon Exporters, Inc.",1.0,1.0,0.0,0.0,0.0,2020,1.0,0.0
Art Lee Delano,1.0,0.0,0.0,0.0,1.0,2009,1.0,1.0
Arter,1.0,1.0,0.0,0.0,0.0,2006,1.0,0.0
Arter Warren,1.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
Arthur,2.0,0.0,0.0,1.0,1.0,3989,2.0,0.5
Arthur Alan Blind,1.0,0.0,0.0,1.0,1.0,1994,2.0,0.5
Arthur Chase,1.0,0.0,0.0,1.0,0.0,1994,1.0,0.0
Arthur Lee Beer,1.0,0.0,0.0,0.0,1.0,2001,1.0,1.0
Arthur P. Matthews,1.0,0.0,1.0,1.0,0.0,2000,2.0,0.0
Artic Aircraft Corp.,17.0,4.0,2.0,4.0,19.0,33868,29.0,0.6551724137931034
Arvold Jordon R,1.0,0.0,0.0,0.0,1.0,2012,1.0,1.0
As+ (Russia),0.0,0.0,0.0,0.0,1.0,2000,1.0,1.0
As+ Ltd,0.0,0.0,1.0,0.0,1.0,3995,2.0,0.5
As+ Ltd.,0.0,0.0,1.0,0.0,0.0,1996,1.0,0.0
Ascher,1.0,0.0,0.0,1.0,0.0,2001,1.0,0.0
Ashcraft,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
Asher,1.0,0.0,0.0,1.0,1.0,1994,2.0,0.5
Asmus,1.0,0.0,0.0,0.0,1.0,2002,1.0,1.0
Aspen,1.0,0.0,0.0,0.0,1.0,1984,1.0,1.0
Asselyn,2.0,0.0,0.0,1.0,2.0,3993,3.0,0.6666666666666666
Asta,2.0,0.0,0.0,0.0,3.0,1990,3.0,1.0
Aston Kinsey,1.0,0.0,0.0,0.0,2.0,2018,2.0,1.0
Atec,1.0,2.0,0.0,0.0,0.0,2009,2.0,0.0
Atkins,2.0,0.0,1.0,0.0,1.0,4001,2.0,0.5
Atkins John,1.0,0.0,1.0,0.0,1.0,2009,2.0,0.5
Atkinson,2.0,1.0,0.0,0.0,1.0,3999,2.0,0.5
Atr,38.0,185.0,29.0,36.0,613.0,70243,863.0,0.7103128621089224
Attaway Robert H,1.0,0.0,0.0,1.0,0.0,2011,1.0,0.0
Attebery-Stainbrook,1.0,1.0,0.0,0.0,0.0,1986,1.0,0.0
Aubrey,1.0,0.0,1.0,0.0,0.0,2002,1.0,0.0
Audenried,1.0,0.0,0.0,1.0,0.0,2018,1.0,0.0
Augusta,2.0,1.0,0.0,0.0,0.0,2005,1.0,0.0
Augustawestland,1.0,0.0,0.0,0.0,2.0,2020,2.0,1.0
Augustine David L,1.0,1.0,0.0,0.0,0.0,2009,1.0,0.0
Auman Jl,1.0,0.0,0.0,1.0,0.0,2012,1.0,0.0
Aune,1.0,0.0,2.0,0.0,0.0,2002,2.0,0.0
Aurandt,1.0,0.0,0.0,0.0,1.0,2002,1.0,1.0
Aurora,0.0,0.0,0.0,0.0,0.0,2019,0.0,
Auseth,1.0,0.0,0.0,0.0,2.0,2005,2.0,1.0
Auster,2.0,0.0,0.0,0.0,3.0,3987,3.0,1.0
Austin,3.0,1.0,1.0,1.0,0.0,5985,3.0,0.0
Australite,1.0,0.0,0.0,0.0,1.0,1991,1.0,1.0
Autogyro,7.0,5.0,7.0,0.0,0.0,16149,12.0,0.0
Autogyro Gmbh,3.0,0.0,2.0,1.0,1.0,6053,4.0,0.25
Autogyro Usa Llc,1.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
Auton - Dunham,1.0,0.0,0.0,0.0,2.0,1985,2.0,1.0
Autra,1.0,1.0,0.0,0.0,0.0,1988,1.0,0.0
Auxier Herschel A Jr.,1.0,0.0,0.0,0.0,1.0,1998,1.0,1.0
Ave Stephen,1.0,0.0,0.0,0.0,1.0,2021,1.0,1.0
Aveko Sro,2.0,0.0,0.0,2.0,1.0,4027,3.0,0.3333333333333333
Aventura,1.0,0.0,0.0,0.0,1.0,2015,1.0,1.0
Avery,1.0,2.0,0.0,0.0,0.0,2005,2.0,0.0
Avery Jack H,1.0,0.0,0.0,1.0,0.0,2013,1.0,0.0
Averyt,1.0,0.0,2.0,0.0,0.0,2006,2.0,0.0
Aves Douglas James,1.0,2.0,0.0,0.0,0.0,2016,2.0,0.0
Avia Stroitel,2.0,0.0,1.0,0.0,1.0,4004,2.0,0.5
Aviamilano,0.0,2.0,0.0,0.0,0.0,2020,2.0,0.0
Avian,0.0,1.0,8.0,0.0,7.0,5977,16.0,0.4375
Avian Balloon,0.0,0.0,3.0,1.0,9.0,7978,13.0,0.6923076923076923
Aviastrottel,0.0,0.0,1.0,0.0,0.0,2001,1.0,0.0
Aviat,138.0,23.0,23.0,22.0,149.0,280837,217.0,0.6866359447004609
Aviat Aircraft,1.0,0.0,1.0,0.0,0.0,2011,1.0,0.0
Aviat Aircraft Inc,76.0,7.0,15.0,5.0,86.0,155098,113.0,0.7610619469026548
Aviat Aircraft Inc.,2.0,3.0,0.0,0.0,0.0,4014,3.0,0.0
"Aviat Aircraft, Inc.",1.0,0.0,0.0,0.0,2.0,2013,2.0,1.0
Aviat Inc,9.0,3.0,0.0,3.0,10.0,20119,16.0,0.625
Aviate,1.0,1.0,0.0,0.0,0.0,2008,1.0,0.0
Aviation Adv.,1.0,0.0,0.0,0.0,1.0,1986,1.0,1.0
Aviation International Rotors,4.0,2.0,0.0,2.0,0.0,4013,4.0,0.0
Aviation Specialties Unlimited,1.0,0.0,0.0,0.0,1.0,2006,1.0,1.0
Avid,8.0,3.0,3.0,3.0,6.0,20170,15.0,0.4
Avid Aircraft,9.0,0.0,1.0,3.0,6.0,19987,10.0,0.6
Avid Flyer Inc.,1.0,0.0,0.0,0.0,1.0,1991,1.0,1.0
Aviocar Casa,2.0,18.0,0.0,0.0,0.0,2011,18.0,0.0
Avions Fairey,2.0,1.0,0.0,1.0,0.0,4005,2.0,0.0
Avions Marcel Dassault,2.0,0.0,0.0,0.0,7.0,1991,7.0,1.0
Avions Max Holste,4.0,0.0,0.0,0.0,9.0,8001,9.0,1.0
Avions Mudry,2.0,0.0,0.0,3.0,0.0,3982,3.0,0.0
Avions Mudry Cie,1.0,0.0,0.0,0.0,1.0,2017,1.0,1.0
Avions Mudry Et Cie,3.0,2.0,0.0,1.0,2.0,6016,5.0,0.4
Avions Robin,3.0,6.0,0.0,2.0,0.0,8046,8.0,0.0
Avres Corp.,1.0,0.0,0.0,0.0,1.0,1982,1.0,1.0
Avro,0.0,0.0,0.0,0.0,2.0,6054,2.0,1.0
Axell Charles L,1.0,0.0,0.0,0.0,2.0,2022,2.0,1.0
"Axell, Charles",1.0,2.0,0.0,0.0,0.0,1995,2.0,0.0
Ayers,2.0,2.0,0.0,1.0,0.0,4016,3.0,0.0
Ayres,222.0,44.0,23.0,41.0,145.0,471464,253.0,0.5731225296442688
Ayres Corp,1.0,1.0,0.0,0.0,0.0,2010,1.0,0.0
Ayres Corporation,45.0,5.0,8.0,7.0,26.0,90554,46.0,0.5652173913043478
Ayres Thrush,0.0,2.0,0.0,0.0,1.0,4028,3.0,0.3333333333333333
B??Lkow,9.0,2.0,5.0,3.0,4.0,13949,14.0,0.2857142857142857
Babcock,1.0,0.0,0.0,0.0,1.0,2008,1.0,1.0
Babenco Henry D.,1.0,1.0,0.0,0.0,0.0,2021,1.0,0.0
Baby Bird,1.0,0.0,2.0,0.0,0.0,1986,2.0,0.0
Bac,2.0,0.0,0.0,0.0,48.0,1982,48.0,1.0
Bac-Aerospatiale,0.0,0.0,0.0,0.0,71.0,1998,71.0,1.0
Bach,1.0,0.0,0.0,1.0,0.0,1984,1.0,0.0
Bach Joseph E,1.0,0.0,0.0,0.0,1.0,2021,1.0,1.0
Bachman,1.0,4.0,0.0,0.0,0.0,2004,4.0,0.0
Back Forty Developments,1.0,1.0,0.0,0.0,0.0,1994,1.0,0.0
Backovich George C,0.0,1.0,0.0,0.0,0.0,2014,1.0,0.0
Bacon,3.0,4.0,0.0,1.0,0.0,5990,5.0,0.0
Badeaux,1.0,0.0,0.0,1.0,0.0,2012,1.0,0.0
Bae,30.0,8.0,0.0,2.0,248.0,44352,258.0,0.9612403100775194
Bae Systems,1.0,0.0,0.0,0.0,3.0,4029,3.0,1.0
Bae Systems (Operations) Limit,4.0,0.0,0.0,0.0,1.0,2013,1.0,1.0
Baggarley,1.0,1.0,0.0,0.0,0.0,1998,1.0,0.0
Baggett,1.0,0.0,0.0,1.0,0.0,2006,1.0,0.0
Bagley Curtis Lynn,2.0,0.0,0.0,0.0,3.0,4031,3.0,1.0
Bagnall Harold E,1.0,0.0,0.0,0.0,2.0,2007,2.0,1.0
Bailey,8.0,4.0,2.0,3.0,2.0,16011,11.0,0.18181818181818182
Bailey N Moyes,1.0,1.0,0.0,1.0,0.0,2021,2.0,0.0
Bailey Robert,1.0,0.0,1.0,0.0,1.0,2014,2.0,0.5
Bailey-Moyes Microlights,1.0,0.0,1.0,0.0,0.0,2014,1.0,0.0
Bainbridge,1.0,0.0,0.0,0.0,4.0,1985,4.0,1.0
"Bair Helicopters, Inc.",1.0,0.0,0.0,2.0,0.0,2000,2.0,0.0
Bakeman-Chapman,1.0,0.0,1.0,0.0,0.0,1984,1.0,0.0
Bakeng,4.0,0.0,2.0,1.0,3.0,8015,6.0,0.5
Baker,4.0,1.0,0.0,5.0,0.0,8003,6.0,0.0
Baker Bobby J,1.0,1.0,0.0,0.0,0.0,2015,1.0,0.0
Baker Eugene L,1.0,0.0,0.0,0.0,2.0,2022,2.0,1.0
Baker Victor R,1.0,0.0,1.0,1.0,0.0,2018,2.0,0.0
Baker Wayne,1.0,0.0,1.0,0.0,0.0,2011,1.0,0.0
"Baker, Timithy",1.0,0.0,1.0,0.0,0.0,2006,1.0,0.0
Baker/Santiago Pitts,1.0,0.0,1.0,0.0,0.0,1989,1.0,0.0
Baking,1.0,0.0,0.0,0.0,2.0,1983,2.0,1.0
Bal-Air Inc/Wayne John K,1.0,0.0,0.0,0.0,1.0,2011,1.0,1.0
Balcomb Kenneth C Iii,1.0,0.0,0.0,0.0,1.0,2022,1.0,1.0
Baldwin,2.0,0.0,1.0,2.0,1.0,4013,4.0,0.25
Balkema,1.0,0.0,0.0,0.0,1.0,2006,1.0,1.0
Balkema/Boven,1.0,0.0,1.0,0.0,0.0,1991,1.0,0.0
Ballhagen/Shyrock,1.0,0.0,0.0,0.0,1.0,2005,1.0,1.0
Balloon Works,1.0,10.0,75.0,59.0,193.0,173181,337.0,0.5727002967359051
Balloonbau Woerner Gmbh,0.0,2.0,0.0,0.0,0.0,1995,2.0,0.0
Bambrick,1.0,0.0,0.0,0.0,1.0,1994,1.0,1.0
Bangham,1.0,0.0,0.0,0.0,1.0,2006,1.0,1.0
Banks/Mong,1.0,1.0,0.0,0.0,0.0,1988,1.0,0.0
Bannwart,1.0,0.0,2.0,0.0,0.0,1987,2.0,0.0
Banting,1.0,0.0,0.0,0.0,1.0,1999,1.0,1.0
Bar/Curtiss,1.0,1.0,1.0,0.0,0.0,2002,2.0,0.0
Barackman Vans,1.0,0.0,0.0,0.0,2.0,2000,2.0,1.0
Barber,1.0,2.0,0.0,0.0,0.0,2002,2.0,0.0
Barber John A,1.0,2.0,0.0,0.0,0.0,2009,2.0,0.0
Barber Robert L,1.0,0.0,0.0,1.0,0.0,2022,1.0,0.0
Barber Warren D,1.0,0.0,0.0,0.0,2.0,2017,2.0,1.0
Barche,1.0,0.0,1.0,1.0,0.0,2012,2.0,0.0
Barclay/Vincent,1.0,2.0,2.0,0.0,0.0,2000,4.0,0.0
Bardouche,1.0,0.0,1.0,0.0,0.0,2008,1.0,0.0
Bareiss David A,1.0,0.0,2.0,0.0,0.0,2016,2.0,0.0
Barger Jerry L,1.0,0.0,0.0,1.0,0.0,2014,1.0,0.0
Barger Steve M,1.0,2.0,0.0,0.0,0.0,2014,2.0,0.0
Barker,2.0,0.0,1.0,0.0,1.0,3990,2.0,0.5
Barker A E,1.0,0.0,0.0,0.0,1.0,2011,1.0,1.0
Barklage,1.0,1.0,0.0,0.0,0.0,1998,1.0,0.0
Barlow,1.0,0.0,1.0,0.0,0.0,1987,1.0,0.0
Barnard,1.0,0.0,0.0,0.0,2.0,2006,2.0,1.0
Barnard/Stancil,1.0,0.0,0.0,0.0,3.0,2008,3.0,1.0
Barnes,2.0,0.0,8.0,3.0,15.0,21878,26.0,0.5769230769230769
Barnes Richard B/Howe Michael,0.0,0.0,0.0,0.0,2.0,2017,2.0,1.0
Barnes Steven D,1.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Barnes Thomas A,1.0,0.0,0.0,1.0,0.0,2016,1.0,0.0
Barness,1.0,1.0,0.0,0.0,0.0,2003,1.0,0.0
Barnett,2.0,0.0,1.0,0.0,1.0,3995,2.0,0.5
Barnett Allen S,1.0,2.0,0.0,0.0,0.0,2015,2.0,0.0
Barney,1.0,0.0,0.0,0.0,1.0,2012,1.0,1.0
Barney Oldfield Aircraft Co,1.0,0.0,0.0,0.0,1.0,2012,1.0,1.0
Barnhart,1.0,0.0,0.0,1.0,0.0,2007,1.0,0.0
Barnstormer,1.0,0.0,1.0,0.0,0.0,1983,1.0,0.0
Baron,1.0,1.0,0.0,0.0,0.0,1988,1.0,0.0
Barr,3.0,0.0,0.0,0.0,7.0,5996,7.0,1.0
Barrett,1.0,0.0,1.0,0.0,0.0,1982,1.0,0.0
Barrett Bensen,1.0,0.0,0.0,1.0,0.0,1999,1.0,0.0
Barrigar,1.0,0.0,0.0,2.0,0.0,1997,2.0,0.0
Barriger,1.0,0.0,0.0,0.0,1.0,1997,1.0,1.0
Barron,2.0,0.0,1.0,0.0,1.0,4022,2.0,0.5
Barrow,1.0,0.0,0.0,0.0,1.0,2013,1.0,1.0
Barrow Ted A,1.0,1.0,0.0,0.0,0.0,2015,1.0,0.0
Barrows,1.0,0.0,0.0,1.0,0.0,2019,1.0,0.0
Barry Maggio,1.0,0.0,1.0,0.0,0.0,2018,1.0,0.0
Barry Zielinski,1.0,1.0,0.0,0.0,0.0,1984,1.0,0.0
Bartels,2.0,1.0,0.0,0.0,1.0,4016,2.0,0.5
Bartholomew,3.0,0.0,1.0,2.0,0.0,6008,3.0,0.0
Bartholomew Kolb,1.0,1.0,0.0,0.0,0.0,1991,1.0,0.0
Bartle,1.0,0.0,0.0,3.0,1.0,2008,4.0,0.25
Barton,1.0,0.0,0.0,0.0,2.0,1996,2.0,1.0
"Barton, Robert A.",1.0,0.0,1.0,1.0,0.0,1992,2.0,0.0
Basinski,1.0,1.0,0.0,0.0,0.0,1997,1.0,0.0
Bass,2.0,1.0,0.0,0.0,1.0,4008,2.0,0.5
Bastian,1.0,0.0,0.0,0.0,1.0,1984,1.0,1.0
Bataller,1.0,0.0,0.0,0.0,1.0,1990,1.0,1.0
Bates,3.0,0.0,2.0,0.0,4.0,6004,6.0,0.6666666666666666
"Bates, Frank L",1.0,0.0,0.0,1.0,1.0,1991,2.0,0.5
Bauer,1.0,0.0,0.0,2.0,0.0,1997,2.0,0.0
Bauer Thomas G,1.0,0.0,0.0,0.0,2.0,2014,2.0,1.0
Bauer'S Mitchell Wing,1.0,1.0,0.0,0.0,0.0,1986,1.0,0.0
Baugh-Hubert,1.0,1.0,0.0,0.0,0.0,1984,1.0,0.0
Baughman,1.0,0.0,0.0,0.0,1.0,2002,1.0,1.0
Baxter-Wilson,1.0,0.0,0.0,0.0,2.0,1995,2.0,1.0
Bayer Oscar,1.0,0.0,0.0,0.0,1.0,2014,1.0,1.0
Bayliss Milton A Iii,1.0,0.0,0.0,0.0,1.0,2012,1.0,1.0
Bd 4- Francisco,1.0,0.0,0.0,2.0,0.0,1990,2.0,0.0
Beach Baby Ace,1.0,0.0,1.0,0.0,0.0,2006,1.0,0.0
Beachner,2.0,2.0,0.0,1.0,0.0,3967,3.0,0.0
Beagle,2.0,0.0,0.0,2.0,6.0,4030,8.0,0.75
Beagle Aircraft,12.0,7.0,0.0,0.0,7.0,11963,14.0,0.5
Beamont,1.0,1.0,0.0,0.0,0.0,1991,1.0,0.0
Bean,1.0,0.0,0.0,2.0,0.0,1999,2.0,0.0
Bean R E/R B Weld Inc,1.0,2.0,0.0,0.0,0.0,2010,2.0,0.0
Beard,2.0,1.0,0.0,0.0,2.0,3988,3.0,0.6666666666666666
Bearden Biplane,1.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Bearhawk,3.0,4.0,1.0,0.0,0.0,6066,5.0,0.0
"Beasley, Gerald L.",1.0,0.0,1.0,0.0,0.0,1984,1.0,0.0
Beaton,1.0,0.0,0.0,1.0,0.0,2005,1.0,0.0
Beatty,1.0,0.0,1.0,0.0,0.0,1993,1.0,0.0
Beauchesne/Wells,1.0,0.0,0.0,0.0,1.0,1989,1.0,1.0
Beaudry Phillip,1.0,0.0,0.0,1.0,1.0,2012,2.0,0.5
Beaupre Elfering,1.0,0.0,0.0,0.0,1.0,1986,1.0,1.0
Beausoleil,1.0,0.0,0.0,0.0,1.0,1987,1.0,1.0
Beaver,2.0,0.0,0.0,0.0,2.0,3986,2.0,1.0
Becerra,1.0,0.0,0.0,0.0,1.0,2007,1.0,1.0
Becker,2.0,1.0,1.0,0.0,0.0,3995,2.0,0.0
Becker Elmer L,1.0,0.0,0.0,1.0,0.0,2014,1.0,0.0
Becker Wag Aero,1.0,1.0,0.0,0.0,0.0,1998,1.0,0.0
Beckert Bruce A,1.0,0.0,0.0,1.0,0.0,2012,1.0,0.0
Beckham,1.0,1.0,0.0,0.0,0.0,1997,1.0,0.0
Beckloff,1.0,0.0,1.0,0.0,0.0,1991,1.0,0.0
Beckner,1.0,0.0,0.0,1.0,0.0,1983,1.0,0.0
Bede,2.0,2.0,0.0,0.0,0.0,4032,2.0,0.0
Bede Aircraft,12.0,9.0,0.0,1.0,5.0,23850,15.0,0.3333333333333333
Bedecorp Llc,1.0,1.0,0.0,0.0,0.0,2015,1.0,0.0
Bedeell,1.0,1.0,0.0,0.0,0.0,1985,1.0,0.0
"Beebe, Dale G.",1.0,0.0,0.0,0.0,1.0,1995,1.0,1.0
Beech,7014.0,3680.0,1093.0,1332.0,7643.0,10629613,13748.0,0.5559354087867326
Beech Aircraft,2.0,8.0,0.0,0.0,0.0,6051,8.0,0.0
Beech Aircraft Co.,0.0,2.0,0.0,0.0,0.0,2018,2.0,0.0
Beech Aircraft Corp,1.0,3.0,0.0,0.0,0.0,2008,3.0,0.0
Beech Aircraft Corporation,1.0,4.0,1.0,1.0,1.0,8056,7.0,0.14285714285714285
Beechcraft,39.0,36.0,6.0,5.0,28.0,58108,75.0,0.37333333333333335
Beechcraft Corporation,1.0,0.0,0.0,1.0,2.0,2012,3.0,0.6666666666666666
Beecher,1.0,0.0,1.0,0.0,0.0,1995,1.0,0.0
Beemer,1.0,0.0,0.0,0.0,1.0,1983,1.0,1.0
Beers,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
Beggs,1.0,1.0,0.0,0.0,0.0,1986,1.0,0.0
Behne,1.0,2.0,0.0,0.0,0.0,2012,2.0,0.0
Beierle,1.0,0.0,1.0,1.0,0.0,1991,2.0,0.0
Belair,1.0,2.0,0.0,0.0,0.0,2018,2.0,0.0
Belcher,2.0,0.0,1.0,0.0,1.0,4021,2.0,0.5
Belcher William B Ii,2.0,0.0,1.0,1.0,0.0,4021,2.0,0.0
"Belcher, Gerald C",1.0,0.0,1.0,0.0,0.0,2012,1.0,0.0
Belew Marshall D Ii,1.0,0.0,0.0,1.0,0.0,2014,1.0,0.0
Believer,0.0,0.0,0.0,0.0,0.0,2022,0.0,
Belisle Thomas J,0.0,0.0,1.0,0.0,0.0,2014,1.0,0.0
Bell,2522.0,1306.0,863.0,1075.0,3018.0,5356634,6262.0,0.481954647077611
Bell 47G-3B,1.0,0.0,0.0,0.0,1.0,1982,1.0,1.0
Bell Bill,1.0,0.0,0.0,0.0,1.0,2014,1.0,1.0
Bell Helicopter,7.0,11.0,5.0,3.0,6.0,14055,25.0,0.24
Bell Helicopter Co,2.0,1.0,0.0,0.0,2.0,4032,3.0,0.6666666666666666
Bell Helicopter Textron,22.0,12.0,8.0,6.0,26.0,46295,52.0,0.5
Bell Helicopter Textron Canada,27.0,11.0,3.0,6.0,38.0,46388,58.0,0.6551724137931034
Bell Helicopter Textron Inc,2.0,2.0,0.0,0.0,0.0,2015,2.0,0.0
Bell Shelby Aero,1.0,2.0,0.0,0.0,0.0,2003,2.0,0.0
Bell Textron Canada Ltd,2.0,0.0,2.0,2.0,2.0,4044,6.0,0.3333333333333333
Bell-Campbell,1.0,0.0,0.0,0.0,1.0,1986,1.0,1.0
Bell-Carson,3.0,1.0,1.0,0.0,2.0,6017,4.0,0.5
Bell-Cont 42G,1.0,0.0,0.0,0.0,1.0,1982,1.0,1.0
Bell-Continental Copters,1.0,0.0,1.0,0.0,0.0,1990,1.0,0.0
Bell-K Copter,2.0,3.0,0.0,0.0,1.0,3984,4.0,0.25
Bell-Kitz Kopters,1.0,0.0,0.0,0.0,1.0,1989,1.0,1.0
Bell-Moore,1.0,0.0,0.0,0.0,1.0,1990,1.0,1.0
"Bell-Olympic Helicopters, Inc.",1.0,1.0,1.0,0.0,0.0,1984,2.0,0.0
Bell-Tellijohn,1.0,0.0,0.0,1.0,1.0,2017,2.0,0.5
Bell-Transworld,3.0,0.0,0.0,0.0,3.0,5976,3.0,1.0
Bell-Transworld Helicopter Cor,1.0,0.0,0.0,0.0,2.0,2013,2.0,1.0
Bell-Transworld Helicopters,1.0,0.0,0.0,1.0,0.0,2017,1.0,0.0
Bell-Watson,1.0,0.0,0.0,0.0,2.0,2015,2.0,1.0
Bell-World,1.0,0.0,0.0,0.0,2.0,1992,2.0,1.0
Bell/Garlick,2.0,0.0,0.0,0.0,2.0,4017,2.0,1.0
Bell/Mason,1.0,0.0,0.0,0.0,1.0,1999,1.0,1.0
Bell/Soloy,1.0,1.0,1.0,0.0,0.0,1982,2.0,0.0
Bell/Textron,1.0,0.0,0.0,0.0,2.0,1982,2.0,1.0
Bell/Tsirah,1.0,1.0,2.0,0.0,0.0,1996,3.0,0.0
Bellah,1.0,0.0,0.0,1.0,0.0,1994,1.0,0.0
Bellanca,1015.0,342.0,196.0,233.0,897.0,2059333,1668.0,0.5377697841726619
Bellanca Aircraft Corporation,1.0,2.0,0.0,0.0,0.0,2005,2.0,0.0
Bellanca Citabria,1.0,2.0,0.0,0.0,0.0,2004,2.0,0.0
Bellance,1.0,0.0,1.0,0.0,1.0,1982,2.0,0.5
Beller,1.0,0.0,0.0,0.0,1.0,2013,1.0,1.0
Bellet James J,1.0,0.0,2.0,0.0,0.0,2017,2.0,0.0
Beltram,1.0,0.0,0.0,0.0,1.0,2003,1.0,1.0
Bely,1.0,2.0,0.0,0.0,0.0,2021,2.0,0.0
Ben Travis,1.0,0.0,0.0,0.0,2.0,1999,2.0,1.0
Bender,1.0,0.0,0.0,0.0,2.0,2009,2.0,1.0
Bender Joseph,1.0,0.0,0.0,0.0,1.0,2017,1.0,1.0
Beneteau,1.0,2.0,0.0,0.0,0.0,1989,2.0,0.0
Bengtson,1.0,0.0,0.0,1.0,0.0,1984,1.0,0.0
Benham,2.0,0.0,0.0,2.0,1.0,3981,3.0,0.3333333333333333
Benjamin,1.0,0.0,0.0,0.0,1.0,1985,1.0,1.0
Benjamin Harold E,1.0,0.0,0.0,0.0,2.0,2016,2.0,1.0
Bennert,1.0,0.0,0.0,0.0,2.0,1990,2.0,1.0
Bennet,2.0,0.0,1.0,1.0,0.0,3971,2.0,0.0
Bennett,6.0,0.0,1.0,3.0,4.0,12006,8.0,0.5
Bennett Ra Oliver,1.0,0.0,1.0,0.0,0.0,2005,1.0,0.0
Bennetter-Stevens,1.0,0.0,0.0,0.0,2.0,1987,2.0,1.0
Bensen,17.0,8.0,4.0,0.0,6.0,33756,18.0,0.3333333333333333
Bensen Aircraft Corp.,1.0,1.0,0.0,0.0,0.0,2001,1.0,0.0
Bensen-Jansen,1.0,1.0,0.0,0.0,0.0,1986,1.0,0.0
Benson,18.0,5.0,4.0,4.0,6.0,35751,19.0,0.3157894736842105
Benson-Callaway,1.0,0.0,0.0,0.0,2.0,1992,2.0,1.0
Benson/Ambrocini/Wentzel,1.0,1.0,0.0,0.0,0.0,1991,1.0,0.0
Bentley,1.0,2.0,0.0,0.0,0.0,1991,2.0,0.0
Bently,1.0,1.0,0.0,0.0,0.0,1982,1.0,0.0
Benton Fred D,1.0,2.0,0.0,0.0,0.0,2013,2.0,0.0
Bereznak,1.0,0.0,1.0,0.0,1.0,2018,2.0,0.5
Berg,1.0,1.0,0.0,0.0,0.0,1995,1.0,0.0
Berger Bernard M,1.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
