Make,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year,Total Passengers,Ratio of Uninjured
Skaggs Ronnie Lynn,1.0,0.0,0.0,0.0,2.0,2015,2.0,1.0
Skeeter,1.0,1.0,0.0,0.0,0.0,2012,1.0,0.0
Skelton,1.0,0.0,0.0,0.0,2.0,1989,2.0,1.0
Skiles Kenneth C,1.0,2.0,0.0,0.0,0.0,2022,2.0,0.0
Skilling,1.0,1.0,1.0,0.0,0.0,1989,2.0,0.0
Skillman,1.0,1.0,1.0,0.0,0.0,1993,2.0,0.0
Skistmas George,1.0,0.0,0.0,0.0,1.0,2009,1.0,1.0
Skov-Papworth,2.0,0.0,0.0,0.0,3.0,3978,3.0,1.0
Skurich,1.0,0.0,0.0,1.0,0.0,1985,1.0,0.0
Skwira Matthew J,1.0,1.0,0.0,0.0,0.0,2018,1.0,0.0
"Sky International, Inc.",1.0,0.0,1.0,0.0,0.0,2011,1.0,0.0
Sky Star,1.0,0.0,1.0,1.0,0.0,1996,2.0,0.0
Skybolt,1.0,0.0,0.0,0.0,1.0,2019,1.0,1.0
Skygear,1.0,1.0,0.0,0.0,0.0,2007,1.0,0.0
Skykits,2.0,1.0,0.0,0.0,2.0,4018,3.0,0.6666666666666666
Skykits Corp,3.0,0.0,0.0,0.0,3.0,6038,3.0,1.0
Skykits Corporation,1.0,0.0,0.0,0.0,2.0,2010,2.0,1.0
Skykits Usa Corp,2.0,1.0,0.0,1.0,0.0,4024,2.0,0.0
Skyraider,1.0,1.0,0.0,0.0,0.0,2014,1.0,0.0
Skyranger,1.0,0.0,1.0,0.0,0.0,1985,1.0,0.0
Skyrunner,1.0,0.0,0.0,2.0,0.0,2018,2.0,0.0
Skystar,3.0,0.0,0.0,0.0,3.0,6041,3.0,1.0
Skystar Aircraft Corp,1.0,0.0,0.0,0.0,1.0,2002,1.0,1.0
Skytek,1.0,2.0,0.0,0.0,0.0,1990,2.0,0.0
Skytrails Lsa,1.0,0.0,2.0,0.0,0.0,2011,2.0,0.0
Slade H. Holmes,1.0,0.0,0.0,0.0,1.0,1992,1.0,1.0
Slagle,1.0,0.0,0.0,0.0,2.0,2007,2.0,1.0
Slater,1.0,1.0,0.0,0.0,0.0,2000,1.0,0.0
Slaughter Mike,1.0,0.0,1.0,1.0,0.0,2014,2.0,0.0
Slaybaugh,1.0,2.0,0.0,0.0,0.0,1996,2.0,0.0
Slepcev,1.0,0.0,0.0,0.0,2.0,2001,2.0,1.0
Slingsby,0.0,2.0,2.0,0.0,2.0,9985,6.0,0.3333333333333333
Slingsby Aviation Plc,0.0,0.0,0.0,1.0,0.0,1997,1.0,0.0
Slip Stream,1.0,1.0,0.0,0.0,0.0,2017,1.0,0.0
Slipstream,2.0,1.0,0.0,0.0,2.0,4027,3.0,0.6666666666666666
Sloan,2.0,0.0,1.0,0.0,1.0,3985,2.0,0.5
Sloan Roger D,1.0,0.0,0.0,0.0,2.0,2011,2.0,1.0
Sly,1.0,0.0,0.0,0.0,2.0,1999,2.0,1.0
Smart,1.0,0.0,1.0,0.0,0.0,1994,1.0,0.0
Smeesters,1.0,1.0,0.0,0.0,0.0,1989,1.0,0.0
Smelko,1.0,0.0,0.0,0.0,2.0,1985,2.0,1.0
Smelser,1.0,0.0,0.0,1.0,0.0,1991,1.0,0.0
Smiley James E,1.0,0.0,1.0,0.0,0.0,2015,1.0,0.0
Smith,79.0,29.0,14.0,8.0,39.0,118085,90.0,0.43333333333333335
Smith & R. Mathews,1.0,0.0,0.0,0.0,1.0,1986,1.0,1.0
Smith Aerostar,6.0,3.0,0.0,1.0,1.0,5969,5.0,0.2
Smith Albert F,1.0,0.0,1.0,0.0,1.0,2009,2.0,0.5
Smith Allen,1.0,0.0,0.0,0.0,1.0,2012,1.0,1.0
Smith Arthur Fox,1.0,0.0,0.0,0.0,2.0,2000,2.0,1.0
Smith Bret B,1.0,2.0,0.0,0.0,0.0,2009,2.0,0.0
Smith Capella,1.0,0.0,1.0,0.0,0.0,2016,1.0,0.0
Smith Carter A,1.0,0.0,0.0,1.0,0.0,2007,1.0,0.0
Smith Dennis P,1.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Smith Douglas J.,1.0,0.0,1.0,0.0,0.0,2017,1.0,0.0
Smith Edward I,1.0,0.0,0.0,0.0,2.0,2010,2.0,1.0
Smith Mini,1.0,0.0,0.0,1.0,0.0,1982,1.0,0.0
Smith Miniplane,8.0,0.0,2.0,2.0,4.0,15994,8.0,0.5
Smith Richard D Jr,1.0,0.0,0.0,0.0,1.0,2010,1.0,1.0
Smith Vilas,1.0,0.0,0.0,0.0,1.0,2015,1.0,1.0
Smith Wylie Jay,1.0,0.0,0.0,0.0,1.0,2008,1.0,1.0
"Smith, Ted Aerostar",98.0,31.0,2.0,10.0,58.0,99590,101.0,0.5742574257425742
Smith-Poston,1.0,0.0,0.0,0.0,1.0,1983,1.0,1.0
Smith/Davis,1.0,1.0,0.0,0.0,0.0,1992,1.0,0.0
Smithgall Pitts Special,1.0,0.0,1.0,0.0,0.0,1989,1.0,0.0
Smithwick/Treidel,1.0,0.0,0.0,2.0,0.0,2010,2.0,0.0
Smitrovich,1.0,0.0,0.0,1.0,0.0,1992,1.0,0.0
Smitrvich Starduster,1.0,1.0,1.0,0.0,0.0,1993,2.0,0.0
Smuz,1.0,0.0,0.0,0.0,1.0,2005,1.0,1.0
Smysor Kevin,1.0,1.0,0.0,0.0,0.0,2009,1.0,0.0
Smyth,1.0,0.0,0.0,0.0,2.0,4012,2.0,1.0
Smyth Sidewinder,2.0,1.0,1.0,0.0,0.0,4012,2.0,0.0
Smythe Donald F,0.0,0.0,0.0,1.0,1.0,2014,2.0,0.5
Snelling,1.0,0.0,0.0,0.0,2.0,2008,2.0,1.0
Snider,2.0,0.0,2.0,1.0,0.0,3985,3.0,0.0
Snobird,2.0,1.0,0.0,1.0,0.0,4001,2.0,0.0
Snow,31.0,2.0,0.0,2.0,28.0,61808,32.0,0.875
Snowbird,1.0,2.0,0.0,0.0,0.0,1996,2.0,0.0
Snyded,1.0,2.0,0.0,2.0,0.0,1995,4.0,0.0
Snyder,3.0,3.0,0.0,1.0,0.0,5983,4.0,0.0
Snyder Todd W,1.0,0.0,0.0,1.0,0.0,2013,1.0,0.0
